epoch,global_step,train_loss,holdout_loss,holdout_composite_score,best_composite_score,holdout_sym_mean,holdout_sym_p95,holdout_no_curve_count,holdout_bad_rate,h_pred_max,h_pred_p99,vox03,vox03_total,cc_count,lcc_ratio,wrap_coverage,hard_case_count,score_active,score_loss_component,score_sym_p95_component,score_no_curve_count_component,score_bad_rate_component,score_vox03_empty_component,score_cc_count_component,score_wrap_miss_component,score_hard_case_viewer_component,hard_case_sym_p95,hard_case_no_curve_count,hard_case_bad_rate,best_epoch,is_best,epochs_without_improve
10,4686,0.407559528737001,0.53155015707016,1.029053864747912,1.029053864747912,2.388249397277832,6.4031243324279785,0,0.3384615384615385,0.9999860525131226,0.24694629182146025,7023.8,456547,1.3076923076923077,0.9814692560824023,0.2862310641878807,12,1,1.06310031414032,1.2806248664855957,0.0,0.3384615384615385,0.0,0.07692307692307693,0.7137689358121193,1.7616524251302084,19.416488647460938,0,0.8333333333333334,10,1,0
11,5112,0.4069737202264893,0.513712739944458,0.994446941121174,0.994446941121174,2.388383150100708,6.4031243324279785,0,0.36923076923076925,0.999990701675415,0.2904776481045718,7687.215384615384,499669,1.2307692307692308,0.979995631638936,0.26103601759398026,12,1,1.027425479888916,1.2806248664855957,0.0,0.36923076923076925,0.0,0.05769230769230771,0.7389639824060197,1.5833781000773102,16.92764291763304,0,0.9166666666666666,11,1,0
12,5538,0.40645523928980315,0.5535342202736782,1.593431559579674,0.994446941121174,4.191251754760742,8.306623458862305,1,0.2923076923076923,0.9999915361404419,0.1927300487323351,6214.892307692307,403968,1.1846153846153846,0.952569408035409,0.26615067924849967,12,1,1.1070684405473563,1.661324691772461,1.0,0.2923076923076923,0.0,0.046153846153846156,0.7338493207515003,4.229166666666666,165.56268310546875,1,0.8333333333333334,11,0,1
13,5964,0.40442093024511294,0.5239817559719085,1.4178894947074783,0.994446941121174,3.858156681060791,5.74456262588501,1,0.26153846153846155,0.9999736547470093,0.24056268743743003,6947.907692307693,451614,1.0923076923076922,0.9765578617257269,0.29096632857534666,12,1,1.047963511943817,1.148912525177002,1.0,0.26153846153846155,0.0,0.02307692307692305,0.7090336714246533,4.229166666666666,165.56268310546875,1,0.8333333333333334,11,0,2
14,6390,0.4024706957905505,0.5488721709984999,1.679495332428564,0.994446941121174,5.8040995597839355,8.66025447845459,2,0.23076923076923078,0.9999366998672485,0.17714115309035125,6054.123076923077,393518,1.0769230769230769,0.9525346969632711,0.27348016217160626,12,1,1.0977443419969999,1.732050895690918,2.0,0.23076923076923078,0.0,0.019230769230769218,0.7265198378283937,4.25,171.77601623535156,2,0.8333333333333334,11,0,3
15,6816,0.4003737683587231,0.48950508878781246,0.956207247457251,0.956207247457251,2.3566925525665283,6.7082037925720215,0,0.4461538461538462,0.9999923706054688,0.3766535799479922,8774.892307692307,570368,1.2,0.9973058408151642,0.2876031943445225,12,1,0.9790101775756249,1.3416407585144043,0.0,0.4461538461538462,0.0,0.04999999999999999,0.7123968056554775,1.2777423807779946,13.1071964263916,0,0.9166666666666666,15,1,0
16,7242,0.39993978861911755,0.5456884154906639,1.4483804760589627,0.956207247457251,3.891624927520752,6.0,1,0.27692307692307694,0.9998787641525269,0.1681302472339145,6059.569230769231,393872,1.1692307692307693,0.9597631436219737,0.28122838778563636,12,1,1.0913768309813279,1.2,1.0,0.27692307692307694,0.0,0.042307692307692324,0.7187716122143637,4.229166666666666,165.56268310546875,1,0.8333333333333334,15,0,1
17,7668,0.39951157569885254,0.509955003628364,0.8763531931676651,0.8763531931676651,2.118169069290161,5.4772257804870605,0,0.27692307692307694,0.9999662637710571,0.21237824650974205,6786.0,441090,1.2307692307692308,0.9814295860816251,0.27457266979700007,12,1,1.019910007256728,1.095445156097412,0.0,0.27692307692307694,0.0,0.05769230769230771,0.7254273302029999,1.229065953572591,12.75915775299072,0,0.8333333333333334,17,1,0
18,8094,0.3981287338784043,0.5091586383489463,0.9100248637272336,0.8763531931676651,2.082606315612793,5.385164737701416,0,0.26153846153846155,0.9998679161071777,0.20187122599803,6647.969230769231,432118,1.123076923076923,0.9837885844328768,0.29866925408375444,12,1,1.0183172766978925,1.0770329475402831,0.0,0.26153846153846155,0.0,0.03076923076923077,0.7013307459162456,1.5141499328613284,16.5831241607666,0,0.75,17,0,1
19,8520,0.3980872287576747,0.5252212918721713,1.4011503133369985,0.8763531931676651,3.756202459335327,5.4772257804870605,1,0.23076923076923078,0.9997456669807434,0.16585336569708026,6202.446153846154,403159,1.1692307692307693,0.9583946981036348,0.28828171077209575,12,1,1.0504425837443425,1.095445156097412,1.0,0.23076923076923078,0.0,0.042307692307692324,0.7117182892279043,4.229166666666666,171.77601623535156,1,0.8333333333333334,17,0,2
20,8946,0.39810958147888453,0.5045287774159358,0.8963706001438778,0.8763531931676651,2.1436827182769775,5.099019527435303,0,0.26153846153846155,0.9999067783355713,0.23173831441157716,7057.584615384615,458743,1.1846153846153846,0.9758083944704549,0.26620264432750534,12,1,1.0090575548318717,1.0198039054870605,0.0,0.26153846153846155,0.0,0.046153846153846156,0.7337973556724946,1.542199910481771,16.67333221435547,0,0.8333333333333334,17,0,3
21,9372,0.3975443491633509,0.49831892710465653,0.9124881448348233,0.8763531931676651,2.0739057064056396,5.099019527435303,0,0.26153846153846155,0.9999728202819824,0.24936748710588208,7229.9384615384615,469946,1.1076923076923078,0.9906251466738406,0.2945734971000122,12,1,0.9966378542093131,1.0198039054870605,0.0,0.26153846153846155,0.0,0.02692307692307694,0.7054265028999878,1.687792714436849,18.493242263793945,0,0.8333333333333334,17,0,4
22,9798,0.39657507836818695,0.5032707026371589,0.8143920010183066,0.8143920010183066,2.0750811100006104,5.099019527435303,0,0.24615384615384617,0.9998395442962646,0.21738800317306448,6863.461538461538,446125,1.2,0.9802467942667217,0.281817291073379,12,1,1.0065414052743178,1.0198039054870605,0.0,0.24615384615384617,0.0,0.04999999999999999,0.7181827089266211,1.0123233540852865,10.049875259399414,0,0.8333333333333334,22,1,0
23,10224,0.3970233509798005,0.5216457706231338,1.4082356006382575,0.8143920010183066,3.872361183166504,5.656854152679443,1,0.24615384615384617,0.999790608882904,0.1997596059713824,6634.476923076923,431241,1.1692307692307693,0.9647971974726655,0.2782622179277892,12,1,1.0432915412462676,1.1313708305358887,1.0,0.24615384615384617,0.0,0.042307692307692324,0.7217377820722108,4.208333333333333,165.56268310546875,1,0.75,22,0,1
24,10650,0.39585889659017465,0.5274769159463736,1.4888707455194525,0.8143920010183066,4.07430362701416,6.78233003616333,1,0.2923076923076923,0.9998446702957153,0.18037697096431146,6265.384615384615,407250,1.0923076923076922,0.9611499443930341,0.2641810474403485,12,1,1.0549538318927472,1.356466007232666,1.0,0.2923076923076923,0.0,0.02307692307692305,0.7358189525596515,4.25,165.56268310546875,1,0.9166666666666666,22,0,2
25,11076,0.39532344295105465,0.48291290998458863,0.8618586599216341,0.8143920010183066,2.1922218799591064,5.4772257804870605,0,0.3384615384615385,0.9999518394470215,0.2592773774937758,7587.2,493168,1.2153846153846153,0.9910751229241256,0.2783597389839783,12,1,0.9658258199691773,1.095445156097412,0.0,0.3384615384615385,0.0,0.05384615384615382,0.7216402610160217,1.2139177449544272,12.569805145263672,0,0.8333333333333334,22,0,3
26,11502,0.3955060864138491,0.5365953931441674,0.9952354252882544,0.8143920010183066,2.2896499633789062,6.324555397033691,0,0.26153846153846155,0.9998108744621277,0.17655846282744672,6171.153846153846,401125,1.2153846153846153,0.9676335179635516,0.26861392169110676,12,1,1.0731907862883348,1.2649110794067382,0.0,0.26153846153846155,0.0,0.05384615384615382,0.7313860783088932,1.582083231608073,16.911457061767578,0,0.9166666666666666,22,0,4
27,11928,0.3945504549383557,0.5165966758361229,0.9682264720178239,0.8143920010183066,2.2521708011627197,5.916079998016357,0,0.23076923076923078,0.9998496770858765,0.19918964979268197,6584.861538461539,428016,1.1384615384615384,0.9801034249554452,0.2718094498659245,12,1,1.0331933516722458,1.1832159996032714,0.0,0.23076923076923078,0.0,0.0346153846153846,0.7281905501340755,1.664678876241048,18.204319286346433,0,0.8333333333333334,22,0,5
28,12354,0.39444067395628896,0.5003101876148811,1.3878297368844832,0.8143920010183066,3.878079891204834,5.4772257804870605,1,0.24615384615384617,0.9997774958610535,0.20918178351167574,6797.784615384616,441856,1.1692307692307693,0.9776995932888947,0.27729845027338335,12,1,1.0006203752297622,1.095445156097412,1.0,0.24615384615384617,0.0,0.042307692307692324,0.7227015497266167,4.229166666666666,165.56268310546875,1,0.8333333333333334,22,0,6
29,12780,0.3943210839525635,0.5522416926347292,1.6658788839894143,0.8143920010183066,5.824367523193359,8.333612918853586,2,0.27692307692307694,0.9995182752609253,0.14920395107031453,5701.184615384615,370577,1.1384615384615384,0.9488736597293999,0.26811967291430466,12,1,1.1044833852694584,1.6667225837707171,2.0,0.27692307692307694,0.0,0.0346153846153846,0.7318803270856953,4.25,171.77601623535156,2,0.8333333333333334,22,0,7
30,13206,0.3938653569126353,0.5219457034881299,0.9271795538223111,0.8143920010183066,2.147165298461914,5.196152210235596,0,0.2153846153846154,0.9995673298835754,0.18542830671760793,6311.246153846154,410231,1.123076923076923,0.9715879093174647,0.2754514190612369,12,1,1.0438914069762597,1.0392304420471192,0.0,0.2153846153846154,0.0,0.03076923076923077,0.7245485809387631,1.6667704671223957,18.23046417236328,0,0.8333333333333334,22,0,8
