epoch,global_step,train_loss,holdout_loss,holdout_composite_score,best_composite_score,holdout_sym_mean,holdout_sym_p95,holdout_manual_point_mean,holdout_manual_point_p95,holdout_manual_point_sr1,holdout_manual_point_sr2,holdout_manual_point_count,holdout_no_curve_count,holdout_bad_rate,h_pred_max,h_pred_p99,vox03,vox03_total,cc_count,lcc_ratio,wrap_coverage,hard_case_count,score_active,score_loss_component,score_sym_p95_component,score_no_curve_count_component,score_manual_point_p95_component,score_manual_point_sr1_miss_component,score_bad_rate_component,score_vox03_empty_component,score_cc_count_component,score_wrap_miss_component,score_hard_case_viewer_component,hard_case_sym_p95,hard_case_no_curve_count,hard_case_bad_rate,best_epoch,is_best,epochs_without_improve
10,4686,0.40842137908991516,0.5188862420045413,1.082139156822246,1.082139156822246,2.3454601764678955,6.633249759674072,2.3298404216766357,6.721349334716776,0.25019607843137254,0.5945098039215686,1275,0,0.3230769230769231,0.9999874830245972,0.262942098009474,7225.092307692307,469631,1.2615384615384615,0.9797108172451874,0.27884938299036444,12,1,1.0377724840090825,1.3266499519348145,0.0,1.3442698669433553,0.7498039215686274,0.3230769230769231,0.0,0.06538461538461537,0.7211506170096356,1.52383940633138,16.443825912475585,0,0.8333333333333334,10,1,0
11,5112,0.40699195323135934,0.535001980799895,1.0415727129235322,1.0415727129235322,2.316012382507324,5.916079998016357,2.3802919387817383,6.538092565536498,0.22823529411764706,0.5756862745098039,1275,0,0.24615384615384617,0.9999736547470093,0.21365605707979282,6626.446153846154,430719,1.1384615384615384,0.9773036887529818,0.2599211066446855,12,1,1.07000396159979,1.1832159996032714,0.0,1.3076185131072997,0.7717647058823529,0.24615384615384617,0.0,0.0346153846153846,0.7400788933553145,1.5622005818684896,16.923340606689454,0,0.8333333333333334,11,1,0
12,5538,0.4062371845816223,0.5366401709043063,1.2997431097536891,1.0415727129235322,2.6129870414733887,9.295061302184747,2.6921560764312744,10.419238662719719,0.2415686274509804,0.5780392156862745,1275,0,0.2923076923076923,0.9999961853027344,0.2542136324129513,7065.138461538461,459234,1.2769230769230768,0.9687550530223745,0.2647166020682007,12,1,1.0732803418086125,1.8590122604369494,0.0,2.0838477325439437,0.7584313725490196,0.2923076923076923,0.0,0.0692307692307692,0.7352833979317993,1.6930820744832356,18.55935926437378,0,0.8333333333333334,11,0,1
13,5964,0.4040738862585014,0.5614637044759897,2.111914566739779,1.0415727129235322,7.927901744842529,12.845232963562012,10.967519760131836,62.32716674804017,0.25333333333333335,0.5788235294117647,1275,3,0.27692307692307694,0.9999759197235107,0.20435348497487246,6387.046153846154,415158,1.1538461538461537,0.9234966797648553,0.2744773589176978,12,1,1.1229274089519794,2.5690465927124024,3.0,10.0,0.7466666666666666,0.27692307692307694,0.0,0.038461538461538436,0.7255226410823021,4.270833333333333,178.98324584960938,3,0.8333333333333334,11,0,2
14,6390,0.40282738523584016,0.5731126358875862,2.0619797771172044,1.0415727129235322,6.173431396484375,13.152946472167969,8.55255126953125,16.442942237854,0.24235294117647058,0.556078431372549,1275,2,0.2923076923076923,0.9998923540115356,0.1708553515342319,5772.984615384616,375244,1.2153846153846153,0.9472845453145999,0.25739637657208086,12,1,1.1462252717751724,2.6305892944335936,2.0,3.2885884475708003,0.7576470588235295,0.2923076923076923,0.0,0.05384615384615382,0.7426036234279192,4.25,171.77601623535156,2,0.8333333333333334,11,0,3
15,6816,0.40099444859464406,0.4896746653776902,0.9605852799825471,0.9605852799825471,2.3171820640563965,6.082762718200684,2.0004472732543945,4.699500370025631,0.25254901960784315,0.6101960784313726,1275,0,0.3384615384615385,0.999993085861206,0.341390627334789,8440.676923076922,548644,1.2769230769230768,0.9867098282657008,0.28008887320453685,12,1,0.9793493307553804,1.2165525436401368,0.0,0.9399000740051262,0.7474509803921568,0.3384615384615385,0.0,0.0692307692307692,0.7199111267954632,0.9914900207519532,10.049875259399414,0,0.75,15,1,0
16,7242,0.40036147483077966,0.5439025933925922,1.6318113668708398,0.9605852799825471,4.244107246398926,8.5440034866333,5.206684112548828,11.882498931884763,0.26666666666666666,0.6086274509803922,1275,1,0.26153846153846155,0.9998620748519897,0.19426612046290845,6182.953846153846,401892,1.1692307692307693,0.9698076034530603,0.2852679530615004,12,1,1.0878051867851843,1.70880069732666,1.0,2.376499786376953,0.7333333333333334,0.26153846153846155,0.0,0.042307692307692324,0.7147320469384997,4.229166666666666,175.234130859375,1,0.8333333333333334,15,0,1
17,7668,0.3996657146394533,0.5279053046153142,1.192321786529766,0.9605852799825471,2.4670941829681396,8.062257766723633,2.5530810356140137,9.146627998352047,0.22509803921568627,0.5882352941176471,1275,0,0.27692307692307694,0.9999700784683228,0.21043358534914594,6567.538461538462,426890,1.1846153846153846,0.9708281174210981,0.2664214727462036,12,1,1.0558106092306283,1.6124515533447266,0.0,1.8293255996704094,0.7749019607843137,0.27692307692307694,0.0,0.046153846153846156,0.7335785272537965,1.5867943166097007,17.23076229095459,0,0.8333333333333334,15,0,2
18,8094,0.3982908433311982,0.5197312813538771,1.0351413633172084,0.9605852799825471,2.2417261600494385,6.082762718200684,2.3658320903778076,6.998713159561156,0.2407843137254902,0.6125490196078431,1275,0,0.23076923076923078,0.9999197721481323,0.23011443300501191,6897.415384615385,448332,1.1076923076923078,0.9811247306411741,0.27545327056717533,12,1,1.0394625627077543,1.2165525436401368,0.0,1.3997426319122312,0.7592156862745099,0.23076923076923078,0.0,0.02692307692307694,0.7245467294328247,1.5210400899251302,16.40883445739746,0,0.8333333333333334,15,0,3
19,8520,0.3990860127367324,0.5270273933043846,1.0602714811625458,0.9605852799825471,2.2124643325805664,6.164413928985596,2.3515777587890625,7.19321870803833,0.26745098039215687,0.6109803921568627,1275,0,0.26153846153846155,0.9998992681503296,0.19624281390880133,6423.307692307692,417515,1.1538461538461537,0.975919857093007,0.28850338133852366,12,1,1.0540547866087693,1.2328827857971192,0.0,1.438643741607666,0.7325490196078431,0.26153846153846155,0.0,0.038461538461538436,0.7114966186614764,1.622433293660482,17.676249504089355,0,0.8333333333333334,15,0,4
20,8946,0.3981366494032139,0.5473412775076353,1.6663788263596533,0.9605852799825471,5.962472438812256,7.874007701873779,7.752298355102539,10.22727994918823,0.23215686274509803,0.5976470588235294,1275,2,0.2153846153846154,0.999854564666748,0.1734882335748971,5910.707692307692,384196,1.123076923076923,0.9350572793088744,0.2733690914732362,12,1,1.0946825550152706,1.574801540374756,2.0,2.045455989837646,0.7678431372549019,0.2153846153846154,0.0,0.03076923076923077,0.7266309085267638,4.25,178.98324584960938,2,0.8333333333333334,15,0,5
21,9372,0.39659775667627095,0.536793159521543,1.7821223230517922,0.9605852799825471,6.098909378051758,9.486832618713379,7.825308799743652,12.842023372650116,0.24313725490196078,0.6039215686274509,1275,2,0.3230769230769231,0.9998657703399658,0.21306847846441426,6522.923076923077,423990,1.2769230769230768,0.9436380132117654,0.2721092756434841,12,1,1.073586319043086,1.8973665237426758,2.0,2.568404674530023,0.7568627450980392,0.3230769230769231,0.0,0.0692307692307692,0.7278907243565159,4.25,178.98324584960938,2,0.8333333333333334,15,0,6
22,9798,0.39662324717626884,0.5026443577729739,1.1034068894125817,0.9605852799825471,2.2851366996765137,7.071067810058594,2.2516462802886963,6.904701805114743,0.27058823529411763,0.6321568627450981,1275,0,0.26153846153846155,0.9999370574951172,0.2635014496785856,7469.661538461539,485528,1.2,0.9806955437905233,0.29364784403344446,12,1,1.0052887155459478,1.4142135620117187,0.0,1.3809403610229487,0.7294117647058824,0.26153846153846155,0.0,0.04999999999999999,0.7063521559665555,1.5939740498860677,17.32050895690918,0,0.8333333333333334,15,0,7
23,10224,0.39609189163631114,0.5525550613036523,1.7145899953987418,0.9605852799825471,5.927510738372803,8.306623458862305,7.852623462677002,11.980788803100584,0.24,0.5686274509803921,1275,2,0.3384615384615385,0.9998162388801575,0.18153299542358042,6072.815384615385,394733,1.1846153846153846,0.9424382164524662,0.25142110928755246,12,1,1.1051101226073046,1.661324691772461,2.0,2.3961577606201168,0.76,0.3384615384615385,0.0,0.046153846153846156,0.7485788907124475,4.270833333333334,178.98324584960938,2,0.9166666666666666,15,0,8
